id	area	spec_section	interpretation	current_gap	implementation	acceptance
A68	PL	11	QA skip 과거 실패에 후보가 activate했을지를 비교한다.	counterfactual action과 실제 예방 성과를 구분하는 평가 모델이 없다.	would-activate와 observed failure를 별도 label로 기록하고 해결 효과는 sandbox 실행 또는 검증 evidence가 있어야 인정한다.	T13: 호출 예측만으로 실패를 막았다는 reward를 확정하지 않는다.
A69	PL	11	shadow는 production action을 바꾸지 않고 predicted action만 만든다.	policy 대조 실행의 side effect 격리가 없다.	shadow evaluator에 mutation/dispatch 권한을 주지 않고 동일 pinned signal snapshot을 입력한다.	T11: shadow 활성화가 실제 worker·context·cache head를 바꾸지 않는다.
A70	CP,AP,EV,PL	1	Observe→최소 activate→local reason→deterministic→필요 통합→낭비/누락 학습→구조 개선의 순환이다.	실행 완료와 학습 메모 기록만으로 이 순환이 닫히지 않는다.	outcome에서 실제 policy evaluation/promotion으로 이어지고 다음 동일 구조 event에서 달라진 판단을 관찰한다.	T15: 한 episode의 검증된 학습이 다음 episode에만 versioned 방식으로 반영된다.
A71	PL	11	Useful Cognitive Work/Computation Cost를 최적화한다.	유용성이 정의되지 않으면 호출 수만 줄이는 최적화가 될 수 있다.	유용성 evidence와 품질 하한을 먼저 고정하고 비용 denominator를 실제 execution ledger로 계산한다.	T13: 품질을 떨어뜨린 후보는 efficiency가 높아 보여도 수용되지 않는다.
A72	CP,AP,EV	1	고정 Planner+A/B/C/D+Synthesis 대신 deterministic→signals→필요 역할→필요 통합 흐름이다.	현재 manager 중심 dispatch를 그대로 두고 prompt만 고치면 흐름이 강제되지 않는다.	manager dispatch 권한을 제거하고 role grants와 integration obligations로 실제 실행 순서를 통제한다.	T02,T15: 전 역할 fanout이 기본 실행 경로에 존재하지 않는다.
A73	CP,CG,AP,CM	1	필요한 사고인가→누가→깊이→무엇이 바뀌면 다시 하는가 순서를 결정한다.	각 질문이 개별 prompt 판단에 남아 있다.	eligibility/activation/profile/dependency vector를 순차적 immutable decision으로 연결한다.	T15: 모든 run에서 네 질문의 근거를 조회할 수 있다.
A74	CP,CG,AP,CM,EV,PL	13	12개 최종 원칙은 각각 독립 수용 조건이며 앞선 상세 항목을 대체하는 요약이 아니다.	일부 원칙 구현을 전체 완료로 판정할 위험이 있다.	각 Principle을 대응 절과 테스트에 연결해 하나라도 실제 경로에서 빠지면 전체 완료를 거절한다.	T15: 12개 원칙별 evidence gate가 모두 만족해야 한다.
A75	CP,CG,AP,CM,EV,PL	13	최종 곱의 sparse activation/local context/adaptive reasoning/deterministic validation/graph integration/policy learning은 모두 필수다.	기존 신호·캐시만으로 최종 정의가 충족되지 않는다.	각 기능을 실제 native/Pod 경로에서 강제하고 correctness/useful decisions 대비 전체 비용을 평가한다.	T14,T15: 하나라도 advisory-only 또는 미연결이면 미완성이다.
B00	CG,CP	1	요구·계획·결과·구현·환경·의존·실패·통합 변화에 인과적으로 연결된 부분만 재계획한다.	기존 revision diff는 있으나 기대/관찰·의미 인과·경계 증명이 없고 전체 계획 제안이 가능하다.	모든 변화 source를 event로 모델링하고 prediction→closure→boundary→scoped replan을 control plane에서 결정한다.	T15: 변경 task만 고치거나 항상 전체 계획을 다시 만드는 두 극단을 피한다.
B01	CG,EV	7	A1 변경은 필요한 A2와 A의 통합만 검토하고 무관 B/C는 유지한다.	현재 단순 dependency와 revision key만으로 의미 경계 보존을 설명하지 못한다.	A1→A2 typed dependency와 A boundary 통합을 fixture로 모델링하고 preserved 외부 arc를 절단한다.	T15: B/C의 task/spec/decision/run이 그대로이고 A2와 통합 의무만 생긴다.
B02	CG,ST	3	Goal→Subgoal→Task→Action 계층과 하위 routine 재사용을 지원한다.	parent/child는 있으나 reusable routine과 계층별 기대·경계 의미가 부족하다.	plan level과 action/task boundary를 명시하고 routine version에 내부 계보·외부 ports를 보존한다.	T12: 다른 상위 목표에서 동일한 유효 routine을 재사용할 수 있다.
B03	CG	5	Mt의 예상 다음 상태와 실제 상태 사이 거리 epsilon이 모델 갱신 근거다.	현재 input 변경 감지는 있지만 expected vs actual prediction 모델이 없다.	Expectation/Observation/PredictionError를 versioned 저장하고 low error preserve와 significant error update를 분리한다.	T07: 기대치와 관찰이 같으면 계획을 다시 만들지 않고 불일치 근거를 기록한다.
B04	CG,EV	3	expectedArtifacts/interface/behavior/dependencies/risk를 실행 전에 정의하고 ActualOutcome과 비교한다.	PlanTaskSpec design 문자열과 acceptanceCriteria는 전체 typed expectation이 아니다.	각 expectation field에 schema/validator/input binding을 두고 실행 전에 immutable pin한다.	T07: 다섯 expected field 각각의 불일치·unknown과 사후 기대치 변조를 검사한다.
B05	CG	5	줄 수 변화가 아니라 contract/behavior/dependency/goal-assumption의 가중 의미 오차를 계산한다.	코드 해시 변화와 specHash는 semantic dimension을 구분하지 않는다.	C/B/D/G 거리·가중치·근거·정규화를 정의하고 rename과 return type change를 다른 scope로 분류한다.	T07: 큰 문서 포맷 변화보다 작은 required return type 변화가 강한 의무를 만들 수 있다.
B06	CG,AP	5	SPE threshold에 따라 preserve/영향 계산/상위 검토를 구분한다.	변경 신호가 오면 입력 무효화되지만 의미 오차 threshold 판단은 없다.	boundary별 threshold/hysteresis와 hard override를 policy version에 저장한다.	T07: threshold 이하라도 critical violation은 반드시 처리되고 equality 규칙이 결정적이다.
B07	CG,ST	3	u→v는 v의 올바른 결과가 u에 의존한다는 방향이다.	dependency API의 consumer/source 표현과 인과 방향을 혼용할 수 있다.	저장 source producer→target consumer로 정규화하고 API 변환을 한 곳에 둔다.	T05: A1 변경이 A2/A3로 가고 역방향 A1의 predecessor를 불필요하게 무효화하지 않는다.
B08	CG	6	Affected Closure는 source 자신과 source에서 도달 가능한 모든 node다.	입력 신호는 직접 consumer 전파와 지연 채택 중심이며 명시 closure trace가 없다.	source 집합을 포함한 reachability 결과와 visited edges를 graphVersion에 고정한다.	T05: source 포함·독립 component 제외·다중 경로 중복 제거를 oracle과 대조한다.
B09	CG,EX	6	Local Replanning Theorem은 자신의 입력과 직접 predecessor만으로 결과가 정해진다는 전제에서 성립한다.	실제 read/environment/model/function 변경의 완전성을 증명하는 데이터가 없다.	declared+observed read manifest와 tool/model/policy/environment version을 입력으로 등록하고 unknown 전제에서는 locality proof를 발급하지 않는다.	T05: 숨은 외부 입력이나 f 변경이 있는 반례는 안전 보존 판정을 받지 못한다.
B10	CG	6	도달 불가능한 node의 predecessor와 own input이 동일하면 결과가 유지된다는 증명 단계가 필요하다.	그 조건을 만족하는지 확인하지 않고 단순 미도달을 안전성으로 사용할 수 있다.	DAG topological induction의 입력 불변·f 불변·완전성 조건을 PreservationReason에 저장한다. cycle은 SCC 계약이 필요하다.	T05: 생성 DAG의 full evaluation과 local evaluation이 동일하고 전제 위반 시 proof가 거절된다.
B11	PL,CG	14	Clocal은 affected subset 합계라 Cfull 이하이나 작은 closure에서만 큰 절감이 기대된다.	비용 비교 없이 국소적이라는 이름만으로 효율 개선을 주장할 수 있다.	같은 workload에서 graph walk·검증·재계획·모델 비용을 모두 비교하고 전역 영향 변경도 포함한다.	T13: 국소/전역 변경 각각의 비용을 보고하며 절감률을 사전 고정하지 않는다.
B12	CG,AP	8	task별 zv=1은 영향 집합만 실행한다는 task sparsity다.	worker concurrency cap은 영향 task 선택과 다르다.	causal eligibility 없이는 role 후보를 만들지 않고 보존 task에는 run을 발급하지 않는다.	T02: 역할 정책이 높게 평가해도 비영향 task는 임의 재실행되지 않는다.
B13	CG,ST	3	depends_on 외 shares_contract/resource/assumes/conflicts/integrates/derived/constrained 관계가 필요하다.	현재 artifact lineage와 일반 dependency만으로 자원·가정의 누락 영향이 생길 수 있다.	8개 relation을 causal edge registry에 등록하고 shared resource/contract node와 역방향 영향 규칙을 명시한다.	T05: 단순 task dependency가 없어도 공유 자원·가정 변경이 관련 consumer를 찾는다.
B14	CG	6	GC=(V,E,R)에서 relation별로 변경 종류의 전파 경로가 다르다.	typed propagation registry와 evidence가 없다.	각 relation의 allowed scopes/criticality/consumer view를 검증하고 의미 없는 무제한 문자열 edge를 거절한다.	T05: 같은 두 node라도 relation과 scope에 따라 서로 다른 전파 결과를 낸다.
B15	CG	6	implementation은 실제 behavioral dependency, contract는 공유/구현/통합, goal은 goal/derived/assumption 의존으로 전파한다.	input digest 변화가 relation별 의미 차이를 표현하지 못한다.	명세의 scope→relation matrix를 적용하고 실제 읽는 port projection과 결합한다.	T05: 세 change class 각각의 통과/차단 edge fixture를 갖는다.
B16	CG,ST	5	ChangeSignature의 8 scope/magnitude/confidence를 모두 보존한다.	InputSignal cause는 semantic signature가 아니다.	복수 scope와 근거를 허용하고 A cache classification과 mapping한다. 판정 불가를 confident syntactic으로 저장하지 않는다.	T07: 하나의 변경이 contract+assumption이면 두 경로 모두 반영된다.
B17	CG	7	현재 계획이 유효한 동안 유지하고 의미 있는 오차에서만 event boundary를 갱신한다.	계획 안정 모드와 event episode 개념이 없다.	boundary별 stable/replanning/stabilizing 상태와 전이 근거를 저장한다.	T07: 작은 반복 변화가 parent planner를 계속 깨우지 않는다.
B18	CG,ST	6	Backend/Frontend처럼 planning boundary를 명시하고 내부 변경이 외부 contract를 넘지 않으면 외부 plan을 유지한다.	parent subtree만으로 외부 observable 계약을 표현할 수 없다.	boundary membership/ports/invariants/external bindings를 versioned 저장한다.	T06: backend 내부 변경이 검증된 public projection을 유지하면 frontend run 0이다.
B19	CG,EV	6	IB(S)=IB(S')가 내부 변경의 외부 차단 조건이다.	code hash 동일성·contract 이름 동일성은 boundary observable equality가 아니다.	before/after projection·검증 범위·소비 read completeness를 BoundaryProof로 저장한다.	T06: invariant 이름만 같고 값이 바뀌면 preserved로 판정하지 않는다.
B20	CG,EV	6	외부가 I(S)에만 의존하고 그 값이 같다는 두 조건이 있어야 containment가 성립한다.	외부가 내부 파일/시간/오류 동작을 읽는지 기록하지 않는다.	모든 external binding이 증명 projection으로 닫혔는지 확인한다. unknown이면 검사/전파를 계속한다.	T06: 타입이 같아도 외부 직접 read나 다른 error semantics가 있으면 차단 proof가 실패한다.
B21	CG	6	Ov=fv(I(S),X)에서 I와 X와 f가 같아야 Ov가 유지된다.	외부 X/f 변화와 내부 boundary 변화가 동시에 올 때 단순 hash cut은 불충분하다.	proof에 외부 input/function vector도 고정하고 다중 변화 episode에서 재검증한다.	T06,T09: boundary 보존과 별개 외부 입력 변화가 있으면 해당 외부 task는 재검토된다.
B22	CG,PL	14	좋은 캡슐화가 affected graph와 reasoning 비용을 줄일 수 있다.	boundary 품질과 실제 영향량 사이 측정이 없다.	boundary proof hit·외부 direct read 위반·방문 node·재계획 비용을 계측한다.	T13: 경계 도입 전후 동일 변화의 비용과 정확성을 비교한다.
B23	CG	5	구현/contract/assumption/subgoal/goal 다섯 변경을 구별한다.	plan 전체 fingerprint 차이만으로 각 consumer 범위를 정확히 제한하기 어렵다.	구현은 observable consumer, contract는 port consumer, assumption은 ref index, subgoal은 subtree+교차 관계, goal은 objective 참조로 전달한다.	T05,T07: 다섯 유형 각각의 보존/영향 집합을 fixture로 명시한다.
B24	CG,PL	5	반경은 source와 change type의 함수이며 일반적인 크기 순서를 설명한다.	변경 종류를 고정된 parent 깊이로 치환하면 교차 의존을 놓친다.	실제 typed reachability의 node/edge/depth를 radius로 측정한다. 원문의 부등식은 경향으로만 취급한다.	T05: 고공유 implementation이 작은 subgoal보다 넓은 반례도 올바르게 처리한다.
B25	CG	6	영향은 binary 외 max-product delta로 전파하며 source=1, edge weight는 0..1이다.	InputSignal은 연속 영향 score와 edge weights를 갖지 않는다.	단조 max-product worklist와 방문 이유를 구현하고 scope별 독립 delta를 계산한다.	T05: 여러 경로의 max·0/1 weight·cycle 수렴을 숫자 oracle과 대조한다.
B26	CG	6	delta threshold 미만은 기존 plan 유지, 이상은 재검토한다.	확률적 speculative 판단과 correctness obligation의 구분이 없다.	noncritical optional replan에만 threshold skip을 허용하고 unknown/required validator는 계속 pending으로 남긴다.	T05,T10: 낮은 delta가 필수 검증 의무를 삭제하지 못한다.
B27	CG,EV	6	security/schema/public API/financial correctness는 감쇠하지 않는다.	일반 weight가 critical 전파를 약화할 수 있는 여지를 없애야 한다.	critical=true면 hard reachability를 우선 계산하고 weight=1을 강제한다.	T05: 매우 긴 critical path와 낮은 학습 확률에서도 의무가 끝까지 전파된다.
B28	CG,PL	7	계획 전환에는 재구성·실행 변경 비용이 있다.	더 좋은 계획을 제안하는 것과 바꿀 경제적 가치가 분리되지 않는다.	switch estimator에 replanning/context/session/중단/폐기 작업/통합 비용을 포함한다.	T07: 이미 진행한 작업이 큰 경우 작은 기대 개선만으로 교체하지 않는다.
B29	CG,ST	7	enter>exit의 hysteresis로 작은 오차 진동에 계획이 흔들리지 않게 한다.	boundary별 persistent mode와 두 threshold가 없다.	stable/replanning/stabilizing과 equality 규칙을 저장하고 재시작 후 유지한다. 0.7/0.3은 calibration 예시다.	T07: 두 임계값 사이 진동은 상태를 계속 전환하지 않는다.
B30	CG,PL	7	Cswitch가 Ckeep보다 낮을 때 교체하되 expected failure 비용을 함께 고려한다.	plan impact report는 reuse/create 등의 구조 판단이며 utility 비교는 없다.	두 계획의 동일 단위 비용·오차·실패 추정과 confidence를 evidence로 비교한다.	T07: 비용 우위라도 critical requirement 위반 계획을 keep하지 않는다.
B31	CG	7	better와 worth changing은 다르며 expected gain이 switching cost보다 커야 한다.	제안된 대안이 더 좋아 보인다는 이유만으로 revision을 허용할 수 있다.	feasibility gate 후 incremental gain 비교를 적용하고 keep decision도 이유를 기록한다.	T07: 이득=전환비용 경계값과 불확실 추정 처리 규칙을 검증한다.
B32	CG,AP	7	action/task/subgoal/goal의 가장 작은 수준부터 복구한다.	feedback repair owner가 있지만 단계별 복구 가능성 증거 모델이 없다.	leaf repair 결과와 boundary invariant를 검증하고 실패 evidence가 있을 때만 상위 region 후보를 연다.	T08: local repair 성공 시 parent 역할을 깨우지 않는다.
B33	CG,PL	7	S*는 변경을 흡수해 유효 계획을 복구하는 영역 중 비용 최소다.	LCA나 subtree를 고르는 것으로 argmin을 증명할 수 없다.	유한 candidate domain과 feasibility/cost를 정의하고 branch-and-bound·optimality gap을 기록한다.	T08: 작은 그래프 전수 oracle과 일치하며 미증명 최소를 최소라고 보고하지 않는다.
B34	CG,EV	7	leaf repair 실패→subtask 실패→subgoal 실패→goal 순서로 올라간다.	상위 확장 이유가 일반 문자열이면 local 실패 여부를 강제할 수 없다.	escalation record에 시도·실패 validator·위반 invariant·다음 후보를 요구한다.	T08: 실패 증거 없는 goal-level replan 요청을 거절한다.
B35	CG	7	도로 폐쇄 예시는 과거 출발 선택을 재논의하지 않고 현재 이후 경로를 바꾸는 prefix 보존을 뜻한다.	완료 plan node와 immutable decision 보호가 일관되게 강제되지 않는다.	완료·검증·비영향 prefix fixture를 만들고 미래 변경 lease에서 해당 node를 읽기 전용으로 고정한다.	T08: 우회 경로 생성 후 과거 artifact/decision/spec version은 그대로다.
B36	CG,ST	7	P=Pc+Pf에서 Pc는 완료되고 현재 변화에 영향받지 않은 부분이다.	과거 완료 상태만으로 최신 가정·입력 유효성을 충분히 판정하지 못한다.	committed set은 verified/executed와 causal unaffected 및 실제 artifact 유효성을 함께 검사한다.	T08: 완료했지만 새 assumption evidence에 영향받은 node는 무조건 Pc로 분류하지 않는다.
B37	CG,EV	7	artifact 불변과 소급 무효화 없음이라는 전제 아래 완료 task는 재계산하지 않는다.	일반 reopen API가 이 전제를 보호하는 evidence gate가 아니다.	보존 proof와 명시적 invalidation evidence를 분리하여 재개가 필요할 때만 새 revision을 만든다.	T08: 미래 변경만으로 과거 완료 task를 reopen하는 patch는 거절된다.
B38	CG,EV	7	validated+executed+no affected dependency decision은 immutable이며 reopen에는 근거가 필요하다.	decision은 versioned immutable entity로 관리되지 않는다.	DecisionVersion에 검증/실행 상태와 dependency vector를 두고 invalidation evidence API를 거쳐만 재개한다.	T08: 이유 문자열만으로 immutable decision을 바꿀 수 없다.
B39	CG,ST	3	PlanNode는 objective/expected/actual/dependencies/assumptions/boundary/status/error/invalidation/version을 모두 기억한다.	현재 PlanNode는 stage/outcome/taskSpec 중심으로 expected/actual/error가 없다.	PlanNodeVersion에 각 typed ref를 추가하고 이전 revision과 관찰을 append-only로 남긴다.	T07,T14: 재시작 후 과거 기대·실제·무효화 이유·계획 버전을 정확히 재구성한다.
B40	CP,CG	4	PlanChangeEvent는 sourceTask/before/after/signature/evidence/timestamp를 갖는다.	입력 변경 cause만으로 실제 semantic before/after를 재현하기 어렵다.	불변 SemanticState refs를 event payload에 넣고 correlation/causation과 graph version을 연결한다.	T01,T07: 재전달·재생 시 동일 before/after와 signature를 사용한다.
B41	CP,CG,EV	7	비교→오차→preserve/classify→typed closure→boundary cut→impact→무효화→region→replan→검증→통합→commit의 16단계를 구현한다.	여러 엔진에 부분 동작이 있으나 이 순서와 scope가 강제되지 않는다.	단계별 decision/evidence를 기록하고 invalidation 전 hard 의무·보존 proof를 확정한다. commit은 lease/CAS/validation 후 수행한다.	T15: 16단계에서 임의 전체 revise·검증 전 완료 우회를 시도하면 거절한다.
B42	CG	7	상호작용하는 affected node의 LCA는 공동 재계획 후보다.	계층 owner 선택과 최소 비용 boundary 선택을 동일시할 수 있다.	LCA를 후보 registry에 추가하되 교차 인과 관계·더 작은 region도 함께 평가한다.	T08: A1/A2 상호작용은 A 후보를 만들지만 자동 채택하지 않는다.
B43	CG	7	ContainsAffected와 RestoreConsistency를 만족하는 최소 비용 boundary가 실제 선택이다.	LCA가 항상 최소라는 근거가 없다.	외부 contract 보존을 feasibility predicate로 넣고 후보별 비용/탈락 이유/최적성 증거를 남긴다.	T08: LCA보다 작은 유효 region을 선택하고 외부 invariant 깨진 작은 후보는 거절한다.
B44	CG,CP	7	여러 change는 독립이면 별도, closure가 겹치면 joint 처리한다.	단일 cause 중심 처리로 겹친 plan revision이 충돌할 수 있다.	동일 episode source 집합과 overlap graph를 유지하고 새 event에서 region generation을 갱신한다.	T09: 3개 change가 간접 overlap하면 한 연결 성분으로 병합된다.
B45	CG,CP	7	Ai∩Aj가 비면 병렬, 아니면 merge affected regions 후 공동 재계획한다.	write scope conflict만으로 인과 overlap을 대체할 수 없다.	causal/boundary/resource overlap과 물리 write locks를 별개로 검사하고 독립 region에 개별 lease를 준다.	T09: 파일 경로가 달라도 공유 contract overlap은 공동 계획이며 독립이면 병렬이다.
B46	CG,EV	10	A1/B2의 shared boundary 교차는 integration event를 만든다.	각각의 local pass로 공동 실패를 놓칠 수 있다.	병합 region과 boundary member output tuple로 IntegrationRequired를 생성한다.	T09,T10: 별개 branch에서 만든 정상 결과의 조합 불일치를 검출한다.
B47	CG,EV	7	node별 epsilon과 parent max 또는 weighted accumulation을 유지한다.	완료 상태 aggregate만으로 예측오차가 표현되지 않는다.	PredictionErrorVersion을 부모 집계에 연결하고 max/weighted model과 가정을 기록한다.	T07: 작은 자식 오류와 중요한 큰 오류의 집계 결과·모델 버전이 재현된다.
B48	CG,AP	7	작은 오류는 local repair하고 큰 오류라도 local invariant 복구 불가일 때만 부모에 전달한다.	오차 크기와 복구 실패가 별도 escalation 조건으로 정의되지 않았다.	local repair outcome과 violated invariant refs를 함께 평가한다.	T08: 높은 error라도 local repair 성공이면 parent replan run이 없다.
B49	CG,AP	7	A1 local 실패→A invariant 실패→parent→goal의 조건부 escalation이다.	상위 역할이 변경마다 상태를 읽으며 활성화될 수 있다.	각 경계 실패 event만 다음 level의 activation 후보로 만든다.	T02,T08: 작은 변화 처리 중 상위 역할은 dormant를 유지한다.
B50	CG,PL	11	실패 많은 영역은 split, 안정된 연속 작업은 routine chunk로 granularity를 학습한다.	task 분할은 가능하지만 경험 기반 split/merge 모델이 없다.	관찰 집계·분해 정책·routine 버전과 scoped revision을 연결한다.	T12: 불안정/안정 두 workload에서 서로 다른 후보가 생성된다.
B51	CG,PL	11	alpha*F+beta*U+gamma*R가 split threshold를 넘는지 본다.	failure count·uncertainty·replan frequency의 정규화와 표본 구간이 없다.	관측 window·분모·weights·threshold를 versioned policy로 두고 분할 비용/검증 가능성과 함께 평가한다.	T12: 한 번 실패를 높은 빈도로 과장하지 않고 비용이 큰 무의미 분할은 거절한다.
B52	CG,PL,CM	11	함께 실행되고 independent change 확률이 매우 낮은 태스크를 reusable routine으로 합친다.	stage cache는 task routine 구조 학습과 다르다.	충분한 표본·불확실성·외부 port 불변성을 확인하고 member lineage/내부 checkpoints를 보존한다.	T12: 내부 단계를 복구할 수 있고 외부 dependency가 합치기 전후 동일하다.
B53	CG,PL	11	큰 task split/공동 실행 chunk/공동 실패 integration boundary/독립 변화 separate boundary 네 구조를 배운다.	정적 decomposition을 유지하는 상태라 네 가지 전환이 없다.	네 proposal target을 graph schema·feasibility·shadow evaluator에 연결한다.	T12: 각 변환 후 causal completeness·boundary proof·기존 artifact lineage를 다시 검증한다.
B54	CG,PL,ST	3	PredictiveEdge의 from/to/relation/impactWeight/changeTypes/observedPropagationRate를 모두 저장한다.	기존 dependency edge에 관측 전파 통계와 scope가 없다.	CausalEdgeVersion에 evidence와 sample counts/modelVersion을 더해 원문 필드를 구체화한다.	T05,T12: edge view roundtrip과 정책 변경 전후 통계 provenance가 유지된다.
B55	PL,CG	11	P(v changes|u changes)를 관측해 noncritical weight를 갱신한다.	재실행 여부와 실제 영향 여부를 구분하는 observation이 없다.	semantic delta 검증으로 successes/trials를 만들고 미검토 node는 censored로 남긴다.	T12: 단지 실행했다는 이유로 propagation 성공 label이 되지 않는다.
B56	CG,PL	6	경로 확률 곱은 단순 근사이며 낮으면 speculative replanning을 생략한다.	확률 추정과 확정 causal dependency를 혼동할 수 있다.	product를 speculative score로 표시하고 상관·모델 가정/불확실성을 보존한다. hard 검사에는 사용하지 않는다.	T05,T12: 낮은 경로 확률이 필수 interface 검증을 차단하지 않는다.
B57	CG,EV	6	type/security/schema/interface/transaction/user requirement는 확률로 skip할 수 없다.	학습 정책의 적용 범위를 제한하는 불변 gate가 필요하다.	critical reachability/obligation을 별도 계산하고 learned weights·budget·hysteresis보다 우선한다.	T05,T10: 여섯 constraint 각각 낮은 확률·예산 부족에서도 미해결 상태를 유지한다.
B58	PL	11	replay는 과거 경험을 선택적으로 재검토하는 계산 전략이다.	과거 learning 조회가 실행 정책 replay를 대신하지 못한다.	당시 snapshot과 evidence를 고정한 ReplayJob을 만들고 우선순위·budget·결과를 기록한다.	T13: 현재 지식을 과거 입력에 섞지 않고 재생할 수 있다.
B59	PL	11	Priority=PredictionError*Impact*Risk로 높은 가치부터 재검토한다.	재검토 queue에 근거 있는 우선순위가 없다.	각 factor의 정규화·version·관측을 저장하고 mandatory job 우선 원칙을 추가한다.	T13: 같은 priority의 tie-break와 factor unknown 처리까지 결정적으로 재현한다.
B60	PL,AP	11	budget B에서 비용 ci와 가치 Vi로 0/1 replay 선택을 최적화한다.	worker cap은 계산 budget knapsack이 아니다.	mandatory reserve 후 optional solver를 실행하고 feasible/optimality gap 및 미선택 이유를 기록한다.	T13: 작은 집합은 전수 최적해와 같고 critical 비용이 B 초과면 조용히 skip하지 않는다.
B61	CP,CG,AP,EV	1	CHANGE→오차→preserve/classify→causal→boundary→region→agent→integration→prediction의 전체 대응 흐름이다.	오차·경계·region 판단이 실제 실행 허가 앞에 없다.	CP pipeline에서 단계 순서를 고정하고 unaffected는 sleep, critical은 hard propagation, affected만 evaluate한다.	T15: 세 분기와 prediction update까지 하나의 episode trace로 확인한다.
B62	CG,AP	8	AffectedTasks를 먼저 고르고 그 안에서 ActivationPolicy로 ActiveAgents를 고른다.	전체 runnable task에 역할을 배정하는 것으로는 이중 sparsity가 아니다.	task eligibility와 role decision을 별도 저장하고 두 허가를 모두 통과해야 run을 생성한다.	T02: 100 task/9 role fixture에서 영향 task와 그 필요 role만 실행된다.
B63	CG,AP,CM	8	sparse task/agent/context와 adaptive reasoning을 모두 곱으로 적용한다.	하나의 sparse 요소만 적용해 전체 개선이라 할 수 없다.	grant가 region/role/profile/context manifest를 한 번에 고정하고 네 조건을 검증한다.	T02,T04: 어떤 축이든 우회하면 grant 또는 result 채택이 거절된다.
B64	PL,CG	11	과잉 무효화와 놓친 영향 모두에서 propagation policy를 개선한다.	실제 영향 truth와 invalidation decision의 비교가 없다.	observed semantic delta와 later failure lineage를 연결해 과잉/누락 label을 만든다.	T11: 15개 재검토 중 2개 영향과 누락 task7 실패를 서로 다른 구조 후보로 귀속한다.
B65	PL	11	DetectedImpact-ReplanningCost-MissedImpact reward를 사용하고 중요한 영역은 누락 비용을 높인다.	activation 비용 최적화와 propagation 비용 최적화가 분리돼 있지 않다.	별도 propagation reward ledger와 risk-stratum 평가를 둔다.	T13: cheap narrow propagation이 critical missed impact를 늘리면 승격되지 않는다.
B66	PL,CG	11	파일명 쌍이 아니라 authentication contract/session representation/consumer 관계를 학습한다.	사례 note를 실행 규칙으로 바꾸면 과적합할 수 있다.	구조 relation/port semantic kind 중심 DSL과 다른 이름 holdout을 사용한다.	T11: auth.ts/UserPage literal rule은 거절하고 구조 동형 그래프에서 일반화된다.
B67	CP,CG,EX	12	Control Plane이 immutable/affected/boundary/invalid assumptions/evidence를 정하고 LLM은 그 안만 수정한다.	work_plan revise에 전체 node 집합을 제출할 수 있다.	ReplanLease와 scoped patch API를 도입하고 outside write·immutable rewrite·새 외부 edge를 서버에서 거절/확장 검토한다.	T08,T14: prompt를 무시하는 planner도 실제 권한 밖 계획을 바꾸지 못한다.
B68	CG,CM	7	ReplanningContext의 goal/boundary/changed/invalidated/preserved/immutable/errors/invariants/evidence 필드를 모두 전달한다.	일반 task context는 재계획 권한·보존 집합·오차 계약이 아니다.	필드별 pinned version과 context selector를 제공하고 outside는 필요한 port summary만 읽는다.	T04,T08: 모든 필드가 해당 lease snapshot과 일치하며 전역 history가 포함되지 않는다.
B69	CG,EV	7	ReplanningResult의 revised/new/removed/tasks/dependencies/preserved decisions/invalid assumptions/expectations/confidence를 모두 처리한다.	전체 PlanNode 배열 교체 방식은 수정 이유와 영역을 강제하지 않는다.	proposal-local ID patch를 검증하고 server가 ID/version을 할당한다. removed는 역사 삭제가 아니라 membership 제외다.	T08: 각 output 유형의 정상·범위 위반·stale base·참조 무결성 실패를 검사한다.
B70	CP,CG,EV	10	GoalValid/GraphConsistent/BoundaryContractsValid/CriticalInvariants/PredictionError<threshold가 모두 참이어야 끝난다.	기존 completion은 task/integration/issue 중심이고 prediction/containment 의무가 없다.	completion aggregator에 다섯 조건과 최신 snapshot·미해결 role/stop/unknown 의무를 conjunction으로 추가한다.	T10: 각 조건 하나만 실패하는 독립 fixture 모두 완료가 차단된다.
B71	CG,AP	1	무엇을 다시 볼지를 먼저 결정하고 누가 생각할지를 다음 결정한다.	manager가 role/재계획 범위를 한 번에 자유 판단한다.	causal region decision 없이 role activation을 실행할 수 없게 한다.	T02,T15: 호출 순서와 grant 참조로 두 단계의 선후를 검증한다.
B72	PL	14	replanning/reasoning/coordination/failure 비용 최소화는 correctness 하한 제약 안에서 수행한다.	토큰 절감만으로 적응 성공을 판정할 수 없다.	동일 workload baseline 대비 비용과 성공 적응/실패를 함께 측정하고 Qrequired 미달 후보를 거절한다.	T13: 실패를 늘려 얻은 비용 절감을 개선으로 보고하지 않는다.
B73	CG	6	Locality와 Boundary Containment의 전제를 동시에 만족한 영역만 제외한다. 마지막 교차식은 구현 타입을 명확히 해야 한다.	node 집합과 boundary 집합의 단순 교차나 이름 비교로 정리를 구현할 수 없다.	완전한 causal graph에서 preserved exit arcs를 절단한 reachability로 ReplanRegion을 정의한다.	T05,T06: 우회 경로·다중 경계·unknown proof 반례에서 필요한 node를 누락하지 않는다.
